asin,category,priority
B08N5WRWNW,video_games,8
B09V3KXJPB,video_games,9
B0BDKD8DVD,tv,9
B0BT4Z9LZB,outros,7
B09JSPLN1H,video_games,8
B08FCRZDX8,tv,8
B07YTF91DL,cafeteira,7
B0C5BFMWJQ,geladeira,9
B0BN6XFHX5,lava_roupas,8
B09V4NZD6G,tv,8
B0BDHM6SNX,geladeira,8
B08BHXG144,cafeteira,7
B07PVCVBN7,lava_roupas,7
B09B96TG33,video_games,9
B08P54PZMY,tv,7
B0CX23V2ZK,lava_e_seca,9
B09DFCB66Y,geladeira,8
B07VJYZF5K,cafeteira,8
B09R82LBK2,video_games,8
B0BG97Y47V,tv,8
B0BHZCQCML,lava_roupas,8
B08FC1GMGJ,cafeteira,7
B0C4JHQNZQ,geladeira,9
B09DFHJTD2,lava_e_seca,8
B0BWLDM93F,video_games,7
B09XM42N8S,tv,7
B0BX13G4RZ,cafeteira,8
B09WQRD1VG,lava_roupas,7
B08BHRG146,geladeira,7
B09F9VGSZQ,outros,6
